id	relation
140	http://www.wikidata.org/prop/direct/P1791
141	http://www.wikidata.org/prop/direct/P1792
142	http://www.wikidata.org/prop/direct/P180
143	http://www.wikidata.org/prop/direct/P1801
144	http://www.wikidata.org/prop/direct/P1811
145	http://www.wikidata.org/prop/direct/P1830
146	http://www.wikidata.org/prop/direct/P184
147	http://www.wikidata.org/prop/direct/P1846
148	http://www.wikidata.org/prop/direct/P185
149	http://www.wikidata.org/prop/direct/P1853
150	http://www.wikidata.org/prop/direct/P186
151	http://www.wikidata.org/prop/direct/P1877
152	http://www.wikidata.org/prop/direct/P1879
153	http://www.wikidata.org/prop/direct/P1881
154	http://www.wikidata.org/prop/direct/P1884
155	http://www.wikidata.org/prop/direct/P1889
156	http://www.wikidata.org/prop/direct/P19
157	http://www.wikidata.org/prop/direct/P190
158	http://www.wikidata.org/prop/direct/P1906
159	http://www.wikidata.org/prop/direct/P194
160	http://www.wikidata.org/prop/direct/P1943
161	http://www.wikidata.org/prop/direct/P1944
162	http://www.wikidata.org/prop/direct/P195
163	http://www.wikidata.org/prop/direct/P1963
164	http://www.wikidata.org/prop/direct/P1981
165	http://www.wikidata.org/prop/direct/P199
166	http://www.wikidata.org/prop/direct/P20
167	http://www.wikidata.org/prop/direct/P2012
168	http://www.wikidata.org/prop/direct/P206
169	http://www.wikidata.org/prop/direct/P2061
170	http://www.wikidata.org/prop/direct/P2079
171	http://www.wikidata.org/prop/direct/P208
172	http://www.wikidata.org/prop/direct/P209
173	http://www.wikidata.org/prop/direct/P21
174	http://www.wikidata.org/prop/direct/P2184
175	http://www.wikidata.org/prop/direct/P22
176	http://www.wikidata.org/prop/direct/P2238
177	http://www.wikidata.org/prop/direct/P2283
178	http://www.wikidata.org/prop/direct/P2291
179	http://www.wikidata.org/prop/direct/P2341
180	http://www.wikidata.org/prop/direct/P2348
181	http://www.wikidata.org/prop/direct/P2354
182	http://www.wikidata.org/prop/direct/P2363
183	http://www.wikidata.org/prop/direct/P237
184	http://www.wikidata.org/prop/direct/P2388
185	http://www.wikidata.org/prop/direct/P2408
186	http://www.wikidata.org/prop/direct/P241
187	http://www.wikidata.org/prop/direct/P242
188	http://www.wikidata.org/prop/direct/P2438
189	http://www.wikidata.org/prop/direct/P25
190	http://www.wikidata.org/prop/direct/P2515
191	http://www.wikidata.org/prop/direct/P2517
192	http://www.wikidata.org/prop/direct/P2541
193	http://www.wikidata.org/prop/direct/P2548
194	http://www.wikidata.org/prop/direct/P2554
195	http://www.wikidata.org/prop/direct/P2564
196	http://www.wikidata.org/prop/direct/P2578
197	http://www.wikidata.org/prop/direct/P2579
198	http://www.wikidata.org/prop/direct/P2596
199	http://www.wikidata.org/prop/direct/P26
200	http://www.wikidata.org/prop/direct/P2633
201	http://www.wikidata.org/prop/direct/P2637
202	http://www.wikidata.org/prop/direct/P264
203	http://www.wikidata.org/prop/direct/P2650
204	http://www.wikidata.org/prop/direct/P2652
205	http://www.wikidata.org/prop/direct/P2670
206	http://www.wikidata.org/prop/direct/P2684
207	http://www.wikidata.org/prop/direct/P27
208	http://www.wikidata.org/prop/direct/P2716
209	http://www.wikidata.org/prop/direct/P272
210	http://www.wikidata.org/prop/direct/P2737
211	http://www.wikidata.org/prop/direct/P2738
212	http://www.wikidata.org/prop/direct/P2747
213	http://www.wikidata.org/prop/direct/P275
214	http://www.wikidata.org/prop/direct/P2756
215	http://www.wikidata.org/prop/direct/P2758
216	http://www.wikidata.org/prop/direct/P276
217	http://www.wikidata.org/prop/direct/P277
